name;code
"Medienpädagogin";"016.015.003"
"Medienpädagogin";"018.005"
"Fachwirt für Einkauf";"019.104"
"Fachwirt für Einkauf";"022.010.008"
"Fachwirtin für Einkauf";"022.029.022"
"Technischer Kaufmann";"018.027.001"
"Technischer Kaufmann";"019.130.017"
"Technische Kauffrau";"019.119.014"
"Gamedesignerin";"037.004"
"Spieledesignerin";"037.004"
"Spieleentwicklerin";"037.004"
"Lexikographin";"014.005.026.041"
"Lexikografin";"014.005.026.041"
"Gesundheitspsychologe";"011.010"
"Werbetexter";"018.006"
"Sektionschefin";"022.014.001.001"
"Sektionsleiterin / Österreich";"022.014.001.001"
"Sektionsleiterin";"022.014.001.001"
"Arbeitswissenschaftler";"022.002"
"Forstingenieur";"013.003.021"
"Bundesrichterin";"014.005.016.004.001"
"Bundesrichterin";"025.030.005.001"
"Studiendirektor";"016.006.033.595"
"Studiendirektorin";"016.007.020.596"
"Speerwerfer";"023.003.001"
"Komödiantin";"002.054.002.555"
"Fregattenkapitän";"001.004.004.010.001.001"
"Fregattenkapitän";"001.004.004.010.001"
"Korvettenkapitän";"001.004.004.010.002"
"Korvettenkapitän";"001.004.004.010.001.002"
"Archiv / Direktorin";"022.014.001.002.004"
"Archiv / Direktorin";"010.046.001"
"Archivdirektorin";"022.014.001.002.004"
"Archivdirektorin";"010.046.001"
"Projektleiterin";"031.008.001"
"Projektmanagerin";"031.008.001"
"Hauptdarstellerin";"002.054.002.539"
"Speerwerferin";"023.005.003"
"Kontraktarbeiterin";"022.005.002"
"Kriegsveteranin";"001.003"
"Veteranin";"001.003"
"Immunologe";"011.015.012"
"Sortimentsbuchhändlerin";"019.116.008.003"
"Tierheilpraktikerin";"011.059.002"
"Luftwaffenoffizier";"001.004.004.002"
"Kanzlist";"010.008.023"
"Kanzleibeamter";"010.008.023"
"Produktmanagerin";"022.003"
"Lehrassistentin";"016.002"
"Adventistin";"020.002"
"Koreanist";"014.008.001.008"
"Koreanistin";"014.005.026.005"
"Schlepper / Fahrerin";"013.001.052"
"Traktorfahrerin";"013.001.052"
"Traktoristin";"013.001.052"
"Schlepperfahrerin";"013.001.052"
"Musikschule / Lehrerin";"004.004.010.001"
"Musikschullehrerin";"004.004.010.001"
"Weiblicher Gauner";"028.001"
"Gaunerin";"028.001"
"Schreibdidaktikerin";"016.015.004"
"Pferdewirtin";"013.001.048.003"
"IT-Systemkauffrau";"022.004"
"Informations- und Telekommunikationssystem-Kauffrau";"022.004"
"Fachwirt für Marketing";"022.010.009"
"Fachwirt für Marketing";"018.007"
"Fachwirtin für Marketing";"022.029.018"
"Theologe / Orthodoxe Kirche";"020.017.004"
"Orthodoxer Theologe";"020.017.004"
"Krankenpatron";"011.011"
